SKU,ISO_Week,Sales,Season,Promotion
SKU_102,2018-30,0.0,2,0.0
SKU_102,2018-31,0.0,2,0.0
SKU_102,2018-32,0.0,2,0.0
SKU_102,2018-33,241.0,2,0.0
SKU_102,2018-34,328.0,2,0.0
SKU_102,2018-35,233.0,2,0.0
SKU_102,2018-36,293.0,3,0.0
SKU_102,2018-37,387.0,3,0.0
SKU_102,2018-38,385.0,3,0.0
SKU_102,2018-39,442.0,3,0.0
SKU_102,2018-40,0.0,3,0.0
SKU_102,2018-41,0.0,3,0.0
SKU_102,2018-42,-23.0,3,0.0
SKU_102,2018-43,0.0,3,0.0
SKU_102,2018-44,0.0,3,0.0
SKU_102,2018-45,0.0,3,0.0
SKU_102,2018-46,376.0,3,0.0
SKU_102,2018-47,483.0,3,0.0
SKU_102,2018-48,301.0,3,0.0
SKU_102,2018-49,489.0,0,0.0
SKU_102,2018-50,487.0,0,0.0
SKU_102,2018-51,464.0,0,0.0
SKU_102,2018-52,488.0,0,0.0
SKU_103,2018-11,5495.0,1,0.0
SKU_103,2018-12,6330.0,1,0.0
SKU_103,2018-13,6144.0,1,0.0
SKU_103,2018-14,6383.0,1,0.0
SKU_103,2018-15,5533.0,1,0.0
SKU_103,2018-15,5533.0,1,0.0
SKU_103,2018-16,6619.0,1,0.0
SKU_103,2018-17,-111.0,1,0.0
SKU_103,2018-18,-149.0,1,0.0
SKU_103,2018-19,-163.0,1,0.0
SKU_103,2018-20,-119.0,1,0.0
SKU_103,2018-21,11793.0,1,1.0
SKU_103,2018-22,11583.0,1,1.0
SKU_103,2018-23,11828.0,2,1.0
SKU_103,2018-24,11672.0,2,1.0
SKU_103,2018-25,10317.0,2,1.0
SKU_103,2018-26,10468.0,2,1.0
SKU_103,2018-27,10186.0,2,1.0
SKU_103,2018-28,10892.0,2,1.0
SKU_103,2018-29,10961.0,2,1.0
SKU_103,2018-30,52524.0,2,0.0
SKU_103,2018-31,10532.0,2,1.0
SKU_103,2018-32,10168.0,2,1.0
SKU_103,2018-33,11533.0,2,1.0
SKU_103,2018-34,11663.0,2,1.0
SKU_103,2018-35,10197.0,2,1.0
SKU_103,2018-36,11549.0,3,1.0
SKU_103,2018-37,11856.0,3,1.0
SKU_103,2018-38,4185.0,3,0.0
SKU_103,2018-39,4357.0,3,0.0
SKU_103,2018-40,3730.0,3,0.0
SKU_103,2018-41,3158.0,3,0.0
SKU_103,2018-42,3768.0,3,0.0
SKU_103,2018-43,3929.0,3,0.0
SKU_103,2018-44,4588.0,3,0.0
SKU_103,2018-45,3212.0,3,0.0
SKU_103,2018-46,14521.0,3,1.0
SKU_103,2018-47,14510.0,3,1.0
SKU_103,2018-48,12927.0,3,1.0
SKU_103,2018-49,11595.0,0,1.0
SKU_103,2018-50,10061.0,0,1.0
SKU_103,2018-51,10859.0,0,1.0
SKU_103,2018-52,13093.0,0,1.0
